"","site","PFT","Lat","Lon","model","R2","RMSE","RPE"
"162","FR-Gri","CRO","48.8442","1.9519","BMA","0.689984442750816","2.79401670426258","0.00116044389987007"
"163","FR-Pue","EBF","43.7413","3.5957","VPM","0.299547226947309","4.92255647876991","0.833250590105489"
"164","FR-Pue","EBF","43.7413","3.5957","GLO_PEM","0.414125985518047","2.95493608582721","0.414232120723404"
"165","FR-Pue","EBF","43.7413","3.5957","EC_LUE","0.731633616410902","1.99936332961503","0.241282942535169"
"166","FR-Pue","EBF","43.7413","3.5957","CHJ","0.163813579389256","4.51804374632361","1.13314113623497"
"167","FR-Pue","EBF","43.7413","3.5957","C_Fix","0.30491179519088","8.31482725780246","1.66263116031597"
"168","FR-Pue","EBF","43.7413","3.5957","MODIS","0.485810439615678","1.65832646809134","0.177088187546435"
"169","FR-Pue","EBF","43.7413","3.5957","RF","0.805864428539471","0.836975275364842","0.000177046211038044"
"170","FR-Pue","EBF","43.7413","3.5957","SVM","0.816908039869957","0.811469848032589","-0.0125871343996011"
"171","FR-Pue","EBF","43.7413","3.5957","BMA","0.754705019111623","0.939177239536836","0.000155166975809876"
"172","GF-Guy","EBF","5.2788","-52.9249","VPM","0.337777707162802","3.50978512927673","0.164284596643218"
"173","GF-Guy","EBF","5.2788","-52.9249","GLO_PEM","0.403571331114492","2.61362760368785","0.0936363097790978"
"174","GF-Guy","EBF","5.2788","-52.9249","EC_LUE","0.468094088271143","2.46445292298909","0.116977499588561"
"175","GF-Guy","EBF","5.2788","-52.9249","CHJ","0.0428929095629001","5.69704415061637","0.539041283230982"
"176","GF-Guy","EBF","5.2788","-52.9249","C_Fix","0.370117009505607","5.77091541158065","0.466173506080873"
"177","GF-Guy","EBF","5.2788","-52.9249","MODIS","0.0144817848223704","2.7085093815241","-0.125560164446183"
"178","GF-Guy","EBF","5.2788","-52.9249","RF","0.563207276955657","1.26138010770605","0.000773414985357113"
"179","GF-Guy","EBF","5.2788","-52.9249","SVM","0.568534358679844","1.25457982777707","-0.00328968877539376"
"180","GF-Guy","EBF","5.2788","-52.9249","BMA","0.480355808215511","1.38065582453021","0.000104727130142537"
"181","IT-BCi","CRO","40.5237","14.9574","VPM","0.495498706500453","3.96308470579382","-0.204884708278356"
"182","IT-BCi","CRO","40.5237","14.9574","GLO_PEM","0.56562442088692","3.76518442695585","-0.137136044269539"
"183","IT-BCi","CRO","40.5237","14.9574","EC_LUE","0.633193512006869","3.41005386660338","-0.0841482407005173"
"184","IT-BCi","CRO","40.5237","14.9574","CHJ","0.273386157346918","10.5258042357407","1.96157956011069"
"185","IT-BCi","CRO","40.5237","14.9574","C_Fix","0.389115142208869","4.85869377653827","0.434594442258821"
"186","IT-BCi","CRO","40.5237","14.9574","MODIS","0.221579660713751","4.93710290238145","-0.275426989019098"
"187","IT-BCi","CRO","40.5237","14.9574","RF","0.800511174500588","2.37124807711085","0.0054477835151392"
"188","IT-BCi","CRO","40.5237","14.9574","SVM","0.770602833249381","2.55146610806054","-0.0175299072288992"
"189","IT-BCi","CRO","40.5237","14.9574","BMA","0.68850858171011","2.971076015578","0.00157056453941837"
"190","IT-Col","DBF","41.8494","13.5881","VPM","0.837837350573003","3.03079995390624","0.296545099472963"
"191","IT-Col","DBF","41.8494","13.5881","GLO_PEM","0.814875609160686","2.6380135881887","0.205057366484956"
"192","IT-Col","DBF","41.8494","13.5881","EC_LUE","0.802099893499621","2.64400833820377","0.150021799079395"
"193","IT-Col","DBF","41.8494","13.5881","CHJ","0.713424861038761","4.50392957318818","0.761492673270653"
"194","IT-Col","DBF","41.8494","13.5881","C_Fix","0.760536048719739","6.45190180186095","0.810570018375848"
"195","IT-Col","DBF","41.8494","13.5881","MODIS","0.703565158910907","2.62200896587954","0.0114026177307768"
"196","IT-Col","DBF","41.8494","13.5881","RF","0.900122633423453","1.50394441399779","0.00173751804714346"
"197","IT-Col","DBF","41.8494","13.5881","SVM","0.91397990876614","1.40802731495945","-0.0213771780507103"
"198","IT-Col","DBF","41.8494","13.5881","BMA","0.897284292066552","1.5278334473112","-9.09899418154845e-05"
"199","IT-Lav","ENF","45.9562","11.2813","VPM","0.599242475836735","3.61993946674655","-0.272333963257835"
"200","IT-Lav","ENF","45.9562","11.2813","GLO_PEM","0.587659956824668","3.77512773175622","-0.36029532361255"
"201","IT-Lav","ENF","45.9562","11.2813","EC_LUE","0.571141952181317","4.20769524381922","-0.458103629396178"
"202","IT-Lav","ENF","45.9562","11.2813","CHJ","0.639947222148169","5.39339832402443","0.529255687175226"
"203","IT-Lav","ENF","45.9562","11.2813","C_Fix","0.506781412974301","4.21479447237059","-0.107453721936456"
"204","IT-Lav","ENF","45.9562","11.2813","MODIS","0.590263120126426","4.151656466861","-0.451737300351901"
"205","IT-Lav","ENF","45.9562","11.2813","RF","0.796842986448085","1.94922568271066","0.00247388909639112"
"206","IT-Lav","ENF","45.9562","11.2813","SVM","0.809258066583038","1.8931645136898","-0.0148983318139756"
"207","IT-Lav","ENF","45.9562","11.2813","BMA","0.742139090887125","2.19960234707751","0.000351693728875786"
"208","IT-MBo","GRA","46.0147","11.0458","VPM","0.712844431575459","2.7801742317521","-0.396408505076172"
"209","IT-MBo","GRA","46.0147","11.0458","GLO_PEM","0.681035285548544","2.60000670690702","-0.256762236338799"
"210","IT-MBo","GRA","46.0147","11.0458","EC_LUE","0.71701576322088","2.56137841511828","-0.0417987209661856"
"211","IT-MBo","GRA","46.0147","11.0458","CHJ","0.714038940766001","2.25709142807335","-0.00413504669795698"
"212","IT-MBo","GRA","46.0147","11.0458","C_Fix","0.662543405761715","3.27805072445326","0.157187165963605"
"213","IT-MBo","GRA","46.0147","11.0458","MODIS","0.740255439021695","2.38835776713707","-0.213829037882136"
"214","IT-MBo","GRA","46.0147","11.0458","RF","0.867738760187469","1.52487457819933","-0.00262013084062113"
"215","IT-MBo","GRA","46.0147","11.0458","SVM","0.881797734652065","1.43694696377481","-0.00387995371698841"
"216","IT-MBo","GRA","46.0147","11.0458","BMA","0.823954733972072","1.75462118973482","-0.000301913855092451"
"217","IT-Ren","ENF","46.5869","11.4337","VPM","0.645446060980664","2.55310721290852","-0.193052525140091"
"218","IT-Ren","ENF","46.5869","11.4337","GLO_PEM","0.619665746783424","2.69895984908272","-0.136446317135429"
"219","IT-Ren","ENF","46.5869","11.4337","EC_LUE","0.674256015702332","2.4116391962422","-0.295714257048657"
"220","IT-Ren","ENF","46.5869","11.4337","CHJ","0.699825439168879","2.30767238326126","0.171336691683325"
"221","IT-Ren","ENF","46.5869","11.4337","C_Fix","0.574384692062424","3.40425083170416","0.0699362046229316"
"222","IT-Ren","ENF","46.5869","11.4337","MODIS","0.687159726887812","2.46310099486331","-0.33842531540901"
"223","IT-Ren","ENF","46.5869","11.4337","RF","0.854315627501217","1.36831797452022","0.00122438016075638"
"224","IT-Ren","ENF","46.5869","11.4337","SVM","0.86045443482463","1.34378979832282","-0.0154903814845571"
"225","IT-Ren","ENF","46.5869","11.4337","BMA","0.796245260904649","1.61861447505495","6.2723130647874e-05"
"226","IT-SRo","ENF","43.7279","10.2844","VPM","0.622331866109894","3.50100318846963","0.269725667248484"
"227","IT-SRo","ENF","43.7279","10.2844","GLO_PEM","0.664600943650233","2.1377846357959","0.0189257624964163"
